Depth (µm);Stopping Power (MeV·cm²/g);Dose (kGy)
0.04880120186928685;51.22824652344025;107.57931769922453
0.09759731588029336;51.233587974568984;107.59053474659487
0.14638834183518984;51.2389307474505;107.60175456964606
0.1951742795360972;51.24427484261521;107.61297716949194
0.24395512878508696;51.249620260593865;107.62420254724712
0.2927308893841812;51.25496700191745;107.63543070402666
0.3415015611353525;51.26031506711731;107.64666164094636
0.390267143840524;51.26566445672509;107.6578953591227
0.43902763730156946;51.27101517127268;107.66913185967263
0.4877830413203127;51.27636721129234;107.68037114371391
0.5365333556985286;51.28172057731658;107.69161321236481
0.5852785802379417;51.287075269878244;107.70285806674431
0.6340187147402276;51.29243128951048;107.71410570797202
0.682753759007012;51.2977886367467;107.72535613716806
0.7314837128398709;51.30314731212066;107.73660935545338
0.7802085760403307;51.308507316166406;107.74786536394946
0.8289283484098681;51.313868649418275;107.75912416377838
0.8776430297499099;51.319231312410935;107.77038575606296
0.9263526198618336;51.324595305679324;107.78165014192659
0.9750571185469663;51.3299606297587;107.79291732249328
1.0237565256065857;51.335327285184626;107.80418729888771
1.07245084084192;51.34069527249297;107.81546007223525
1.1211400640541465;51.3460645922199;107.8267356436618
1.1698241950443937;51.351435244901914;107.83801401429402
1.2185032336137396;51.35680723107575;107.84929518525908
1.2671771795632125;51.36218055127853;107.86057915768491
1.3158460326937909;51.36755520604763;107.87186593270003
1.3645097928064025;51.372931195920756;107.8831555114336
1.4131684597019263;51.37830852143587;107.89444789501535
1.4618220331811904;51.38368718313135;107.90574308457583
1.510470513044973;51.38906718154575;107.91704108124608
1.5591138990940023;51.394448517218;107.92834188615781
1.6077521911289565;51.39983119068737;107.93964550044349
1.6563853889504636;51.40521520249335;107.95095192523605
1.7050134923591014;51.4106005531758;107.96226116166919
1.7536365011553974;51.415987243274884;107.97357321087725
1.8022544151398292;51.42137527333102;107.98488807399515
1.8508672341128243;51.42676464388503;107.99620575215857
1.8994749578747592;51.43215535547793;108.00752624650366
1.948077586225961;51.43754740865115;108.0188495581674
1.9966751189667065;51.44294080394633;108.0301756882873
2.045267555897221;51.44833554190551;108.04150463800157
2.093854896817681;51.45373162307098;108.05283640844905
2.1424371415282115;51.45912904798538;108.0641710007693
2.191014289828888;51.46452781719159;108.07550841610234
2.239586341519735;51.4699279312329;108.0868486555891
2.288153296400726;51.47532939065282;108.09819172037093
2.3367151542717854;51.48073219599522;108.10953761158997
2.385271914932787;51.48613634780428;108.120886330389
2.433823578183552;51.49154184662447;108.1322378779114
2.4823701438238537;51.49694869300058;108.14359225530121
2.5309116116534134;51.502356887477696;108.15494946370318
2.579447981471902;51.50776643060126;108.16630950426266
2.62797925307894;51.51317732291696;108.17767237812564
2.676505426274097;51.51858956497085;108.1890380864388
2.7250265008568926;51.52400315730929;108.2004066303495
2.773542476626795;51.52941810047892;108.21177801100573
2.8220533533832217;51.53483439502672;108.22315222955612
2.87055913092554;51.54025204149996;108.23452928714993
2.9190598090530653;51.54567104044627;108.24590918493718
2.9675553875650635;51.55109139241354;108.25729192406844
3.0160458662607494;51.556513097949995;108.268677505695
3.0645312449392867;51.56193615760419;108.28006593096879
3.1130115233997877;51.56736057192496;108.29145720104242
3.1614867014413153;51.572786341461466;108.30285131706908
3.20995677886288;51.578213466763216;108.31424828020276
3.258421755463442;51.583641948379984;108.32564809159798
3.30688163104191;51.58907178686189;108.33705075240998
3.3553364053971433;51.59450298275938;108.3484562637947
3.403786078327948;51.59993553662315;108.35986462690862
3.4522306496330804;51.6053694490043;108.37127584290903
3.5006701191112457;51.61080472045418;108.38268991295378
3.549104486561098;51.616241351524486;108.39410683820142
3.5975337517812394;51.62167934276721;108.40552661981116
3.6459579145702232;51.6271186947347;108.41694925894285
3.6943769747265485;51.63255940797957;108.4283747567571
3.742790932048665;51.6380014830548;108.43980311441508
3.7911997863349707;51.643444920513645;108.45123433307867
3.839603537383813;51.64888972090971;108.4626684139104
3.888002184993486;51.654335884796886;108.47410535807346
3.9363957289622356;51.659783412729425;108.4855451667318
3.984784169088254;51.665232305261846;108.49698784104987
4.033167505169684;51.67068256294902;108.50843338219295
4.081545737004613;51.67613418634614;108.5198817913269
4.129918864391082;51.681587176008684;108.53133306961824
4.178286887127078;51.687041532492515;108.54278721823428
4.226649805010538;51.692497256353725;108.55424423834283
4.2750076178393455;51.697954348148805;108.56570413111251
4.3233603254113335;51.70341280843452;108.57716689771249
4.371707927524283;51.70887263776798;108.58863253931278
4.420050423975925;51.714333836706594;108.60010105708386
4.468387814563937;51.71979640580811;108.61157245219704
4.516720099085946;51.725260345630595;108.62304672582425
4.565047277339527;51.730725656732425;108.6345238791381
4.613369349122203;51.73619233967229;108.64600391331182
4.661686314231447;51.74166039500924;108.6574868295194
4.709998172464678;51.747129823302615;108.6689726289355
4.7583049236192645;51.75260062511207;108.68046131273535
4.806606567492524;51.75807280099763;108.69195288209502
4.854903103881719;51.76354635151957;108.70344733819111
4.903194532584065;51.76902127723857;108.71494468220101
4.951480853396722;51.77449757871555;108.72644491530265
4.9997620661168;51.779975256511825;108.73794803867483
5.048038170541355;51.78545431118898;108.74945405349686
5.096309166467395;51.790934743308966;108.76096296094883
5.14457505369187;51.796416553434035;108.77247476221149
5.192835832011684;51.80189974212676;108.7839894584662
5.241091501223686;51.80738430995004;108.79550705089508
5.289342061124673;51.81287025746712;108.80702754068095
5.337587511511391;51.818357585241536;108.81855092900723
5.385827852180533;51.82384629383719;108.83007721705812
5.434063082928743;51.82933638381826;108.84160640601834
5.482293203552607;51.8348278557493;108.85313849707354
5.530518213848663;51.84032071019516;108.86467349140983
5.578738113613396;51.84581494772104;108.87621139021418
5.6269529026432386;51.85131056889242;108.8877521946741
5.675162580734572;51.85680757427516;108.89929590597784
5.723367147683724;51.86230596443541;108.91084252531437
5.771566603286969;51.867805739939655;108.92239205387328
5.819760947340533;51.87330690135473;108.93394449284494
5.867950179640586;51.87880944924778;108.94549984342035
5.916134299983248;51.88431338418628;108.9570581067912
5.964313308164584;51.88981870673801;108.96861928414982
6.01248720398061;51.89532541747115;108.98018337668941
6.060655987227286;51.9008335169541;108.99175038560362
6.108819657700523;51.90634300575568;109.00332031208694
6.156978215196176;51.91185388444501;109.01489315733451
6.205131659510051;51.91736615359155;109.02646892254226
6.253279990437898;51.92287981376504;109.0380476089066
6.301423207775418;51.92839486553562;109.04962921762481
6.349561311318255;51.93391130947372;109.06121374989482
6.397694300862006;51.93942914615011;109.07280120691524
6.44582217620221;51.94494837613588;109.08439158988536
6.493944937134357;51.95046900000247;109.09598490000519
6.542062583453881;51.95599101832163;109.10758113847544
6.590175114956168;51.96151443166547;109.1191803064975
6.638282531436546;51.967039240606404;109.13078240527345
6.686384832690293;51.97256544571719;109.14238743600609
6.734482018512636;51.978093047570916;109.15399539989893
6.782574088698744;51.98362204674102;109.16560629815613
6.8306610430437384;51.98915244380121;109.17722013198255
6.878742881342684;51.994684239325636;109.18883690258384
6.926819603390594;52.000217433888686;109.20045661116625
6.974891208982432;52.00575202806511;109.21207925893674
7.022957697913101;52.011288022430016;109.22370484710304
7.071019069977458;52.01682541755878;109.23533337687344
7.1190753249703045;52.02236421402723;109.24696484945719
